Round	Date	Number	Sample	Replicate	Background	Population	Population2	Condition	Condition2	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	3/30/21	137	408-3	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	TET	45.261	758.746	3.795658541	15.54079641	11.74513786
1	3/30/21	138	408-3	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-B	10-day	NA	300	TMS	39.715	991.944	3.555513624	17.76923132	14.2137177
1	3/30/21	145	408-1	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	ERY	39.71	280.9	3.555289803	9.455857816	5.900568013
1	3/30/21	146	408-1	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	NAL	43.89	1012.38	3.737729378	17.95133874	14.21360936
1	3/30/21	147	408-1	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	PEN	42.467	94.427	3.676637858	5.482430813	1.805792956
1	3/30/21	148	408-1	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	STR	42.467	541.785	3.676637858	13.13223217	9.455594309
1	3/30/21	149	408-1	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	TET	42.467	1032.83	3.676637858	18.13174012	14.45510226
1	3/30/21	150	408-1	2	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	TMS	43.774	1603.048	3.732786755	22.58906874	18.85628198
1	3/30/21	151	403-1	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	ERY	40.028	504.632	3.569496901	12.67396365	9.104466745
1	3/30/21	152	403-1	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	NAL	37.748	723.102	3.466347009	15.17137157	11.70502456
1	3/30/21	153	403-1	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	PEN	37.394	162.918	3.450055055	7.201278361	3.751223306
1	3/30/21	154	403-1	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	STR	42.72	482.465	3.687573503	12.39247268	8.704899182
1	3/30/21	155	403-1	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	TET	39.986	903.102	3.567623734	16.95483102	13.38720728
1	3/30/21	156	403-1	2	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	TMS	42.72	1247.96	3.687573503	19.93083053	16.24325703
1	4/13/21	217	408-1	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	ERY	42.6	238.112	3.682390684	8.705940708	5.023550024
1	4/13/21	218	408-1	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	NAL	43.57	706.637	3.724078643	14.99765125	11.27357261
1	4/13/21	219	408-1	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	PEN	38.269	38.269	3.49018639	3.49018639	0
1	4/13/21	220	408-1	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	STR	37.067	534.795	3.434937052	13.04724245	9.612305399
1	4/13/21	221	408-1	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	TET	38.283	749.36	3.490824741	15.44437426	11.95354952
1	4/13/21	222	408-1	3	P408	408-FR	408-IC	Ten_Day_Condition	10-day	408-FR-A	10-day	NA	300	TMS	39.635	1212.822	3.55193079	19.6482374	16.09630661
1	4/13/21	223	403-2	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	ERY	44.228	306.277	3.752094035	9.873752934	6.1216589
1	4/13/21	224	403-2	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	NAL	40.107	828.111	3.573017577	16.23563729	12.66261971
1	4/13/21	225	403-2	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	PEN	39.426	117.716	3.542553538	6.121287982	2.578734444
1	4/13/21	226	403-2	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	STR	44.228	306.277	3.752094035	9.873752934	6.1216589
1	4/13/21	227	403-2	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	TET	42.773	960.118	3.689860263	17.4818492	13.79198893
1	4/13/21	228	403-2	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-B	10-day	NA	300	TMS	41.804	1464.372	3.647824897	21.58990701	17.94208211
1	4/13/21	235	403-1	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	ERY	43.797	277.398	3.733767278	9.396729527	5.662962249
1	4/13/21	236	403-1	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	NAL	45.305	1035.02	3.797503047	18.1509531	14.35345005
1	4/13/21	237	403-1	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	PEN	43.143	84.526	3.705785129	5.187047468	1.48126234
1	4/13/21	238	403-1	3	P403	403-FR	403-IC	Ten_Day_Condition	10-day	403-FR-A	10-day	NA	300	STR	42.029	740.59	3.657628495	15.35373305	11.69610456
