Round	Date	Number	Sample	Replicate	Background	Population	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
2	02-16-2023	109	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	41.052	139.793	3.614866173	6.670644191	3.055778018
2	02-16-2023	110	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	41.4	482.51	3.630155546	12.3930506	8.762895054
2	02-16-2023	111	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.672	64.136	3.508515344	4.518309735	1.009794391
2	02-16-2023	112	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	41.052	255.636	3.614866173	9.020613397	5.405747225
2	02-16-2023	113	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	38.65	550.394	3.507517227	13.23615698	9.728639749
2	02-16-2023	114	WTAra+	5	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	40.37	717.968	3.584713392	15.11741752	11.53270412
2	02-23-2023	151	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	38.895	152.587	3.518616635	6.969214549	3.450597914
2	02-23-2023	152	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	39.752	562.516	3.557169464	13.38112129	9.823951826
2	02-23-2023	153	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	41.642	71.849	3.640749961	4.782284747	1.141534786
2	02-23-2023	154	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	41.288	213.644	3.625241865	8.246514323	4.621272458
2	02-23-2023	155	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	41.054	606.94	3.614954228	13.89946062	10.2845064
2	02-23-2023	156	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	38.641	821.031	3.507108825	16.16608452	12.65897569
2	03/02/2023	193	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	34.794	115.074	3.327953452	6.052205587	2.724252135
2	03/02/2023	194	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	38.019	366.941	3.478767535	10.80744882	7.328681282
2	03/02/2023	195	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	37.101	46.981	3.436512053	3.867107061	0.430595008
2	03/02/2023	196	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	37.101	247.81	3.436512053	8.881462393	5.444950341
2	03/02/2023	197	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	35.663	464.101	3.369255922	12.15433828	8.785082357
2	03/02/2023	198	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	36.744	691.539	3.41993837	14.83656645	11.41662808
2	3/9/23	235	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	38.435	155.01	3.497747915	7.02433031	3.526582395
2	3/9/23	236	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	39.745	511.599	3.556856256	12.76115286	9.204296601
2	3/9/23	237	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.044	95.253	3.479911107	5.506357426	2.02644632
2	3/9/23	238	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	40.844	225.223	3.605696741	8.467036596	4.861339855
2	3/9/23	239	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	38.074	556.58	3.481282897	13.31033131	9.829048409
2	3/9/23	240	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	38.127	776.281	3.483705072	15.71934862	12.23564355
2	3/24/23	277	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	30.451	205.983	3.113334923	8.097309825	4.983974902
2	3/24/23	278	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	34.703	537.313	3.323598649	13.07792196	9.754323311
2	3/24/23	279	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.543	91.051	3.502658696	5.383533592	1.880874896
2	3/24/23	280	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	36.604	278.624	3.413416921	9.417471807	6.004054887
2	3/24/23	281	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	34.084	562.024	3.293823638	13.37526817	10.08144453
2	3/24/23	282	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	31.951	689.725	3.189093786	14.81709452	11.62800073
2	3/28/23	319	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.588	263.298	3.549824189	9.154799716	5.604975527
2	3/28/23	320	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	42.78	665.149	3.690162182	14.55072184	10.86055966
2	3/28/23	321	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.005	120.405	3.478126971	6.190807904	2.712680933
2	3/28/23	322	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	37.418	312.008	3.451162025	9.965702818	6.514540794
2	3/28/23	323	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	39.926	663.885	3.564946075	14.53688971	10.97194363
2	3/28/23	324	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	40.878	951.712	3.607197184	17.40515279	13.7979556
2	3/30/23	361	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.518	178.186	3.546684379	7.531159695	3.984475316
2	3/30/23	362	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	38.079	640.381	3.481511476	14.27724086	10.79572939
2	3/30/23	363	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.405	70.604	3.496382585	4.740669951	1.244287367
2	3/30/23	364	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	37.8	297.157	3.468733731	9.725636867	6.256903135
2	3/30/23	365	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	37.486	729.649	3.454296512	15.2398981	11.78560159
2	3/30/23	366	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	41.086	996.926	3.616362811	17.81379822	14.19743541
2	4/4/23	403	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	36.158	179.199	3.392557865	7.552536942	4.159979078
2	4/4/23	404	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	35	554.689	3.337790589	13.28770091	9.949910321
2	4/4/23	405	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	33.564	54.783	3.26860108	4.175879643	0.907278563
2	4/4/23	406	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	34.674	305.276	3.322209655	9.857604703	6.535395047
2	4/4/23	407	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	36.436	603.03	3.405574696	13.85461706	10.44904237
2	4/4/23	408	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	36.11	827.384	3.390305295	16.22850922	12.83820392
2	4/6/23	445	WTAra+	13	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	36.778	185.427	3.421520275	7.682658932	4.261138657
2	4/6/23	446	WTAra+	13	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	37.642	603.367	3.46147667	13.85848781	10.39701114
2	4/6/23	447	WTAra+	13	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	36.498	66.17	3.408470951	4.589397077	1.180926125
2	4/6/23	448	WTAra+	13	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	38.573	269.785	3.504021581	9.266889128	5.762867547
2	4/6/23	449	WTAra+	13	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	40.672	878.57	3.598096676	16.7229639	13.12486722
2	4/6/23	450	WTAra+	13	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	32.928	159.623	3.237484816	7.128083882	3.890599066
2	4/11/23	487	WTAra+	14	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	34.108	195	3.294983095	7.878478842	4.583495747
2	4/11/23	488	WTAra+	14	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	37.306	561.956	3.445993124	13.374459	9.928465872
2	4/11/23	489	WTAra+	14	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	37.667	59.714	3.462625952	4.35976569	0.897139738
2	4/11/23	490	WTAra+	14	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	37.306	320.849	3.445993124	10.10590968	6.659916553
2	4/11/23	491	WTAra+	14	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	36.911	655.655	3.427701301	14.4465038	11.0188025
2	4/11/23	492	WTAra+	14	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	35.569	791.56	3.364812676	15.87329133	12.50847866
2	6/15/23	529	WTAra+	15	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	36.016	306.96	3.38588967	9.884756159	6.498866489
2	6/15/23	530	WTAra+	15	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	36.934	372.168	3.42876907	10.88415159	7.455382516
2	6/15/23	531	WTAra+	15	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.458	159.28	3.498794307	7.120421303	3.621626996
2	6/15/23	532	WTAra+	15	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	39.639	584.748	3.552110018	13.6429862	10.09087618
2	6/15/23	533	WTAra+	15	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	36.281	518.799	3.39832326	12.85063631	9.452313045
2	6/15/23	534	WTAra+	15	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	35.659	428.015	3.369066967	11.67224949	8.303182527
2	6/16/23	571	WTAra+	16	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.714	170.736	3.555468861	7.372038908	3.816570047
2	6/16/23	572	WTAra+	16	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	38.574	466.532	3.504067001	12.18612942	8.682062423
2	6/16/23	573	WTAra+	16	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	37.181	55.569	3.440215092	4.205729707	0.765514615
2	6/16/23	574	WTAra+	16	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	38.593	276.667	3.504929876	9.384340296	5.879410419
2	6/16/23	575	WTAra+	16	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	38.307	572.361	3.491918786	13.49770973	10.00579094
2	6/16/23	576	WTAra+	16	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	38.593	755.586	3.504929876	15.50840088	12.003471
2	6/16/23	613	WTAra+	17	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	35.937	77.757	3.382174209	4.975019823	1.592845614
2	6/16/23	614	WTAra+	17	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	35.1	386.458	3.34255546	11.09114079	7.748585333
2	6/16/23	615	WTAra+	17	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	36.762	48.961	3.420775941	3.947755135	0.526979194
2	6/16/23	616	WTAra+	17	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	36.469	231.152	3.407116558	8.577760084	5.170643527
2	6/16/23	617	WTAra+	17	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	36.242	484.565	3.396496267	12.41941354	9.022917271
2	6/16/23	618	WTAra+	17	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	34.472	627.079	3.312518437	14.12817924	10.8156608
2	6/20/23	655	WTAra+	18	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	32.117	97.589	3.197367451	5.573467862	2.376100412
2	6/20/23	656	WTAra+	18	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	33.988	404.774	3.289181724	11.35092807	8.061746347
2	6/20/23	657	WTAra+	18	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	35.073	45.375	3.341269615	3.800435677	0.459166062
2	6/20/23	658	WTAra+	18	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	36.501	238.086	3.40861103	8.705465459	5.296854429
2	6/20/23	659	WTAra+	18	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	34.774	449.014	3.326996841	11.95514942	8.628152579
2	6/20/23	660	WTAra+	18	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	32.881	640.771	3.235173468	14.28158771	11.04641424
