Round	Date	Number	Sample	Replicate	Background	Population	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	3/17/21	68	108-5	1	P108	108-FR	108-FR-B	1-day	NA	300	NAL	41.356	407.596	3.628225965	11.3904274	7.762201436
1	3/17/21	69	108-5	1	P108	108-FR	108-FR-B	1-day	NA	300	PEN	41.356	41.356	3.628225965	3.628225965	0
1	3/17/21	70	108-5	1	P108	108-FR	108-FR-B	1-day	NA	300	STR	44.27	269.349	3.753875153	9.259397903	5.505522751
1	3/17/21	71	108-5	1	P108	108-FR	108-FR-B	1-day	NA	300	TET	44.27	516.673	3.753875153	12.82427869	9.070403534
1	3/17/21	72	108-5	1	P108	108-FR	108-FR-B	1-day	NA	300	TMS	45.837	685.373	3.819734317	14.77027426	10.95053994
1	3/17/21	73	103-7	1	P103	103-FR	103-FR-B	1-day	NA	300	ERY	38.781	160.975	3.513456375	7.158207452	3.644751078
1	3/17/21	74	103-7	1	P103	103-FR	103-FR-B	1-day	NA	300	NAL	45.941	441.036	3.824065177	11.84846484	8.024399658
1	3/17/21	75	103-7	1	P103	103-FR	103-FR-B	1-day	NA	300	PEN	40.289	40.289	3.58111533	3.58111533	0
1	3/17/21	76	103-7	1	P103	103-FR	103-FR-B	1-day	NA	300	STR	41.676	291.135	3.642235964	9.626585517	5.984349553
1	3/17/21	77	103-7	1	P103	103-FR	103-FR-B	1-day	NA	300	TET	41.676	568.225	3.642235964	13.44885256	9.806616592
1	3/17/21	78	103-7	1	P103	103-FR	103-FR-B	1-day	NA	300	TMS	46.062	700.685	3.829097802	14.93435511	11.10525731
1	3/17/21	79	108-2	1	P108	108-FR	108-FR-A	1-day	NA	300	ERY	41.695	205.349	3.643066113	8.084838701	4.441772588
1	3/17/21	80	108-2	1	P108	108-FR	108-FR-A	1-day	NA	300	NAL	42.384	512.755	3.673043182	12.77556205	9.102518868
1	3/17/21	81	108-2	1	P108	108-FR	108-FR-A	1-day	NA	300	PEN	40.308	70.954	3.581959644	4.752405671	1.170446027
1	3/17/21	82	108-2	1	P108	108-FR	108-FR-A	1-day	NA	300	STR	41.695	366.428	3.643066113	10.79989143	7.15682532
1	3/17/21	83	108-2	1	P108	108-FR	108-FR-A	1-day	NA	300	TET	41.695	553.292	3.643066113	13.27095752	9.627891409
1	3/17/21	84	108-2	1	P108	108-FR	108-FR-A	1-day	NA	300	TMS	38.906	802.88	3.519114154	15.98638926	12.4672751
1	3/17/21	85	508-3	1	P508	508-FR	508-FR-A	100-day	NA	300	ERY	43.014	365.982	3.700240728	10.79331686	7.093076129
1	3/17/21	86	508-3	1	P508	508-FR	508-FR-A	100-day	NA	300	NAL	42.968	654.125	3.698261644	14.42963805	10.73137641
1	3/17/21	87	508-3	1	P508	508-FR	508-FR-A	100-day	NA	300	PEN	43.014	43.014	3.700240728	3.700240728	0
